"subject_uri","property_uri","text_value","import_metadata"
"http://dbpedia.org/resource/Pêro_de_Ataíde","http://dbpedia.org/property/occupation","Explorer, navigator","20221211_2"
"http://dbpedia.org/resource/John_Ledyard","http://dbpedia.org/property/occupation","Explorer","20221211_2"
"http://dbpedia.org/resource/Hendrik_Coetzee","http://dbpedia.org/property/occupation","Adventurer, tour leader","20221211_2"
"http://dbpedia.org/resource/Pêro_da_Covilhã","http://dbpedia.org/property/occupation","Explorer, spy, diplomat","20221211_2"
"http://dbpedia.org/resource/Diogo_Fernandes_Pereira","http://dbpedia.org/property/occupation","Explorer, navigator","20221211_2"
"http://dbpedia.org/resource/Zheng_He","http://dbpedia.org/property/occupation","Admiral, diplomat, explorer, and palace eunuch","20221211_2"
"http://dbpedia.org/resource/Vasco_da_Gama","http://dbpedia.org/property/occupation","Explorer, Viceroy of India","20221211_2"
"http://dbpedia.org/resource/Jerónimo_Lobo","http://dbpedia.org/property/occupation","Jesuit missionary, writer","20221211_2"
"http://dbpedia.org/resource/James_Bruce","http://dbpedia.org/property/occupation","Traveller","20221211_2"
"http://dbpedia.org/resource/James_Bruce","http://dbpedia.org/property/occupation","travel writer","20221211_2"
"http://dbpedia.org/resource/Robert_Jacob_Gordon","http://dbpedia.org/property/occupation","Explorer, Soldier, Artist, Naturalist, Linguist","20221211_2"
"http://dbpedia.org/resource/François_Levaillant","http://dbpedia.org/property/occupation","author, explorer, ornithologist","20221211_2"
"http://dbpedia.org/resource/Sir_John_Barrow,_1st_Baronet","http://dbpedia.org/property/occupation","Geographer, linguist, writer","20221211_2"
"http://dbpedia.org/resource/Bernardino_Drovetti","http://dbpedia.org/property/occupation","Antiquities collector, diplomat, politician","20221211_2"
"http://dbpedia.org/resource/Johann_Ludwig_Burckhardt","http://dbpedia.org/property/occupation","traveller, geographer, orientalist","20221211_2"
"http://dbpedia.org/resource/Andrew_Geddes_Bain","http://dbpedia.org/property/occupation","geologist, road engineer, palaeontologist and explorer","20221211_2"
"http://dbpedia.org/resource/Richard_Lander","http://dbpedia.org/property/occupation","Explorer","20221211_2"
"http://dbpedia.org/resource/John_Lander_(explorer)","http://dbpedia.org/property/occupation","Explorer","20221211_2"
"http://dbpedia.org/resource/Giovanni_Miani","http://dbpedia.org/property/occupation","Explorer","20221211_2"
"http://dbpedia.org/resource/António_da_Silva_Porto","http://dbpedia.org/property/occupation","Explorer, trader","20221211_2"
"http://dbpedia.org/resource/Andrea_Debono","http://dbpedia.org/property/occupation","Trader","20221211_2"
"http://dbpedia.org/resource/Samuel_Baker","http://dbpedia.org/property/occupation","Explorer, officer, big game hunter, author, engineer","20221211_2"
"http://dbpedia.org/resource/Stanislas_d'Escayrac_de_Lauture","http://dbpedia.org/property/occupation","Explorer","20221211_2"
"http://dbpedia.org/resource/Stanislas_d'Escayrac_de_Lauture","http://dbpedia.org/property/occupation","Linguist","20221211_2"
"http://dbpedia.org/resource/Stanislas_d'Escayrac_de_Lauture","http://dbpedia.org/property/occupation","Geographer","20221211_2"
"http://dbpedia.org/resource/James_Augustus_Grant","http://dbpedia.org/property/occupation","Explorer, author, armed forces officer","20221211_2"
"http://dbpedia.org/resource/Charles_John_Andersson","http://dbpedia.org/property/occupation","Trader, hunter, explorer","20221211_2"
"http://dbpedia.org/resource/John_Hanning_Speke","http://dbpedia.org/property/occupation","Military officer and explorer","20221211_2"
"http://dbpedia.org/resource/Ludovic_de_Polignac","http://dbpedia.org/property/occupation","Soldier","20221211_2"
"http://dbpedia.org/resource/Frederick_Thomas_Green","http://dbpedia.org/property/occupation","Hunter, trader, explorer","20221211_2"
"http://dbpedia.org/resource/Paul_Du_Chaillu","http://dbpedia.org/property/occupation","Explorer, anthropologist","20221211_2"
"http://dbpedia.org/resource/Gustav_Nachtigal","http://dbpedia.org/property/occupation","Commissioner for West Africa","20221211_2"
"http://dbpedia.org/resource/Gustav_Nachtigal","http://dbpedia.org/property/occupation","Consul-general for the German Empire","20221211_2"
"http://dbpedia.org/resource/Alexine_Tinne","http://dbpedia.org/property/occupation","Explorer","20221211_2"
"http://dbpedia.org/resource/Justin_Pouyanne","http://dbpedia.org/property/occupation","Cartographer and explorer","20221211_2"
"http://dbpedia.org/resource/Hermenegildo_Capelo","http://dbpedia.org/property/occupation","Navy officer, explorer","20221211_2"
"http://dbpedia.org/resource/Paul_Soleillet","http://dbpedia.org/property/occupation","Explorer","20221211_2"
"http://dbpedia.org/resource/Gaston_Méry_(explorer)","http://dbpedia.org/property/occupation","Explorer","20221211_2"
"http://dbpedia.org/resource/Victor_de_Compiègne","http://dbpedia.org/property/occupation","Explorer","20221211_2"
"http://dbpedia.org/resource/Alexandre_de_Serpa_Pinto","http://dbpedia.org/property/occupation","Soldier, explorer, colonial administrator","20221211_2"
"http://dbpedia.org/resource/Émile_Storms","http://dbpedia.org/property/occupation","Soldier, Explorer","20221211_2"
"http://dbpedia.org/resource/Charles-Marie_de_Braconnier","http://dbpedia.org/property/occupation","Soldier, explorer","20221211_2"
"http://dbpedia.org/resource/Daniël_David_Veth","http://dbpedia.org/property/occupation","photographer","20221211_2"
"http://dbpedia.org/resource/Daniël_David_Veth","http://dbpedia.org/property/occupation","Explorer","20221211_2"
"http://dbpedia.org/resource/Roberto_Ivens","http://dbpedia.org/property/occupation","Navy officer, explorer, geographer, colonial administrator","20221211_2"
"http://dbpedia.org/resource/Ludwig_Wolf","http://dbpedia.org/property/occupation","Doctor and anthropologist","20221211_2"
"http://dbpedia.org/resource/Anatole-Joseph_Toulotte","http://dbpedia.org/property/occupation","Missionary","20221211_2"
"http://dbpedia.org/resource/Pierre_Savorgnan_de_Brazza","http://dbpedia.org/property/occupation","Explorer","20221211_2"
"http://dbpedia.org/resource/Thomas_J._Comber","http://dbpedia.org/property/occupation","Missionary","20221211_2"
"http://dbpedia.org/resource/Antoine_Bernard_d'Attanoux","http://dbpedia.org/property/occupation","Journalist, explorer","20221211_2"
"http://dbpedia.org/resource/Robert_William_Felkin","http://dbpedia.org/property/occupation","Medical Missionary and Explorer; Ceremonial Magician","20221211_2"
"http://dbpedia.org/resource/Alfred_Le_Chatelier","http://dbpedia.org/property/occupation","Soldier, Ceramicist, Islamologist","20221211_2"
"http://dbpedia.org/resource/Leopold_Janikowski","http://dbpedia.org/property/occupation","Meteorologist and Museum Director","20221211_2"
"http://dbpedia.org/resource/Ferdinand_de_Béhagle","http://dbpedia.org/property/occupation","Explorer","20221211_2"
"http://dbpedia.org/resource/Joseph_Thomson_(explorer)","http://dbpedia.org/property/occupation","Geologist and explorer","20221211_2"
"http://dbpedia.org/resource/Christian_de_Bonchamps","http://dbpedia.org/property/occupation","explorer","20221211_2"
"http://dbpedia.org/resource/Paul_Costermans","http://dbpedia.org/property/occupation","Soldier, civil servant","20221211_2"
"http://dbpedia.org/resource/Dragutin_Lerman","http://dbpedia.org/property/occupation","explorer of Africa","20221211_2"
"http://dbpedia.org/resource/Richard_Mohun","http://dbpedia.org/property/occupation","Explorer and soldier of fortune","20221211_2"
"http://dbpedia.org/resource/Paul_Bourdarie","http://dbpedia.org/property/occupation","Explorer, journalist","20221211_2"
"http://dbpedia.org/resource/Paul_Crampel","http://dbpedia.org/property/occupation","Explorer","20221211_2"
"http://dbpedia.org/resource/William_A._Chanler","http://dbpedia.org/property/occupation","Politician","20221211_2"
"http://dbpedia.org/resource/William_A._Chanler","http://dbpedia.org/property/occupation","soldier","20221211_2"
"http://dbpedia.org/resource/William_A._Chanler","http://dbpedia.org/property/occupation","explorer","20221211_2"
"http://dbpedia.org/resource/Kenyon_Painter","http://dbpedia.org/property/occupation","big game hunter, banker","20221211_2"
"http://dbpedia.org/resource/Delia_Akeley","http://dbpedia.org/property/occupation","Explorer; hunter","20221211_2"
"http://dbpedia.org/resource/Boyd_Alexander","http://dbpedia.org/property/occupation","Soldier","20221211_2"
"http://dbpedia.org/resource/A._Kingsley_Macomber","http://dbpedia.org/property/occupation","Adventurer, banker, land developer, rancher, racehorse owner/breeder, philanthropist","20221211_2"
"http://dbpedia.org/resource/Isabelle_Eberhardt","http://dbpedia.org/property/occupation","Explorer, writer","20221211_2"
"http://dbpedia.org/resource/P._C._%22Pete%22_Pearson","http://dbpedia.org/property/occupation","game warden","20221211_2"
"http://dbpedia.org/resource/W._D._M._Bell","http://dbpedia.org/property/occupation","big game hunter, adventurer, soldier, and aviator","20221211_2"
"http://dbpedia.org/resource/John_Arthur_(missionary)","http://dbpedia.org/property/occupation","Medical missionary","20221211_2"
"http://dbpedia.org/resource/Gaston_Gradis","http://dbpedia.org/property/occupation","Businessman","20221211_2"
"http://dbpedia.org/resource/Alain_Gheerbrant","http://dbpedia.org/property/occupation","Writer, poet, editor, explorer","20221211_2"
